codes.swistak.batterymonitor	tswistak/Battery-Monitor
com.Ace777.tidy	Gauravkr7488/Tidy
com.Arturo254.opentune	Arturo254/OpenTune
com.CasparvdBroek.bletomqtt	CasparvdBroek/BLEtoMQTT
com.Colota	dietrichmax/colota
com.KaraWilson.JellyBook	JellyBookOrg/JellyBook
com.LAPARCELA.nihonoari	aeri/Nihonoari-App
com.MNPDigital.holidayz	PaskoZhelev/holidayz-app
com.MarcosDiez.shareviahttp	marcosdiez/shareviahttp
com.NightDreamGames.Grade.ly	NightDreamGames/Graded
com.Ounzy.OpenBl	Ounzy/OpenBl
com.OxGames.OxShell	oxters168/OxShell
com.Sommerlichter.social	koyuspace/android-native
com.StudyDesk.app	Limekana/StudyDesk
com.a10miaomiao.bilimiao	10miaomiao/bilimiao2
com.a4a.g8invoicing	gatesuperapp/g8-invoicing
com.aa.mynotes	Abdallah-Abdelazim/mynotes
com.aaronjwood.portauthority	aaronjwood/PortAuthority
com.aaronjwood.portauthority.free	aaronjwood/PortAuthority
com.abast.homebot	s6joui/homebot
com.abezb.thirukuraldaily	Abez-B/thirukkural-daily-widget-
com.abhijitvalluri.android.fitnotifications	abhijitvalluri/fitnotifications
com.abizer_r.quickedit	Abizer-R/QuickEdit-Photo-Editor
com.absinthe.libchecker	LibChecker/LibChecker
com.acho.chat.app	jorgecobos14/I_need_to_stop_programming_pls
com.achunt.weboslauncher	achunt2143/W-Launcher
com.acktarius.concealauthenticator	Acktarius/Conceal-2fa-app
com.acszo.redomi.repo	acszo/Redomi
com.activitymanager	sdex/ActivityManager
com.activitytrace	DavidNeurieder/ActivityTrace
com.acutis.firewall	phasnox/acutis_firewall_android
com.addev.listaspam	adamff-dev/spam-call-blocker-app
com.addismaptransit.app	addismap/addismaptransit
com.adeeteya.classipod	adeeteya/Classipod
com.adeeteya.digital_calculator	adeeteya/DigitalCalculator
com.adeeteya.font_gallery	adeeteya/FontGallery
com.adeeteya.markdown_editor	adeeteya/FlutterMarkdownEditor
com.adgad.kboard	adgad/kboard
com.adguard.android.contentblocker	AdguardTeam/ContentBlocker
com.adiamas.umpireassistant	adiamas/umpireassistant
com.adilhanney.no_more_background	adil192/no_more_background
com.adilhanney.ricochlime	adil192/ricochlime
com.adilhanney.saber	saber-notes/saber
com.aditya1875.pokeverse	Dev-Aditya-More/PokeVerse
com.adonai.manman	Kaned1as/Man-Man
com.aefyr.sai.fdroid	Aefyr/SAI
com.aeidolon.vaultexplorer	R0b0To/VaultExplorer
com.aerotoad.thud	aerotoad/Thud
com.afaneca.myfin	afaneca/myfin-android
com.afkanerd.deku	deku-messaging/DekuSMS-Android
com.afkanerd.sw0b	smswithoutborders/RelaySMS-Android
com.afollestad.photoaffix	afollestad/photo-affix
com.afwsamples.testdpc	googlesamples/android-testdpc
com.agatamessina.quandointv	Messina-Agata/QuandoInTV
com.agatamessina.webinspector	Messina-Agata/WebInspector
com.agateau.burgerparty	agateau/burgerparty
com.agateau.catgenerator	agateau/cat-avatar-generator-app
com.agateau.tinywheels.android	agateau/pixelwheels
com.agepony.app	norsehorse-dev/AgePonyAndroid
com.ah.taplock	modelorona/TapLock
com.ahad.macat	ItsAhadun/maCat
com.ahmedsamy.imagetype	ahmedthebest31/ImageType-android-app
com.ahmedsamy.purelink	ahmedthebest31/PureLink-Android
com.ahorcado	Webierta/ahorcandroid
com.aicodix.assempix	aicodix/assempix
com.aicodix.rattlegram	aicodix/rattlegram
com.aicodix.shredpix	aicodix/shredpix
com.aidinhut.simpletextcrypt	aidin36/simpletextcrypt
com.aipos.aipospm	gininaba/AIPOSPasswordManager
com.aisleron	aisleron/aisleron
com.aistra.hail	aistra0528/Hail
com.aistudio.snoredetector.afkwd	elgrande73/FOSS-snore-detector-android-app
com.aj.wa.contact.adder	amr-jawwad/whatsapp_contact_adder
com.aka.alarm	seeingred/aka-alarm
com.akansh.fileserversuit	akanshSirohi/ShareX
com.akdev.nofbeventscraper	akaessens/NoFbEventScraper
com.akexorcist.ruammij	akexorcist/ruam-mij-android
com.aks_labs.tulsi	AKS-Labs/Tulsi
com.akshayaap.touchdroid	vitaminncpp/TouchDroid
